ABM                                                                                                                             ,INDEX                  ,         9
APEX_230200                                                                                                                     ,FUNCTION               ,         9
APEX_230200                                                                                                                     ,INDEX                  ,      1428
APEX_230200                                                                                                                     ,JOB                    ,        17
APEX_230200                                                                                                                     ,LOB                    ,       161
APEX_230200                                                                                                                     ,PACKAGE                ,       376
APEX_230200                                                                                                                     ,PACKAGE BODY           ,       371
APEX_230200                                                                                                                     ,PROCEDURE              ,         9
APEX_230200                                                                                                                     ,SEQUENCE               ,         4
APEX_230200                                                                                                                     ,SYNONYM                ,         1
APEX_230200                                                                                                                     ,TABLE                  ,       371
APEX_230200                                                                                                                     ,TRIGGER                ,       474
APEX_230200                                                                                                                     ,TYPE                   ,        36
APEX_230200                                                                                                                     ,TYPE BODY              ,         6
APEX_230200                                                                                                                     ,VIEW                   ,       434
APEX_LISTENER                                                                                                                   ,SYNONYM                ,        21
APPLSYS                                                                                                                         ,EVALUATION CONTEXT     ,        23
APPLSYS                                                                                                                         ,INDEX                  ,      1658
APPLSYS                                                                                                                         ,INDEX PARTITION        ,       294
APPLSYS                                                                                                                         ,LOB                    ,       163
APPLSYS                                                                                                                         ,PACKAGE                ,         2
APPLSYS                                                                                                                         ,PACKAGE BODY           ,         2
APPLSYS                                                                                                                         ,QUEUE                  ,        56
APPLSYS                                                                                                                         ,RULE                   ,        22
APPLSYS                                                                                                                         ,RULE SET               ,        68
APPLSYS                                                                                                                         ,SEQUENCE               ,     18343
APPLSYS                                                                                                                         ,SYNONYM                ,         6
APPLSYS                                                                                                                         ,TABLE                  ,      1106
APPLSYS                                                                                                                         ,TABLE PARTITION        ,       120
APPLSYS                                                                                                                         ,TRIGGER                ,         5
APPLSYS                                                                                                                         ,VIEW                   ,       996
APPLSYSPUB                                                                                                                      ,SYNONYM                ,        20
APPQOSSYS                                                                                                                       ,SYNONYM                ,         1
APPQOSSYS                                                                                                                       ,TABLE                  ,         5
APPS                                                                                                                            ,DATABASE LINK          ,         6
APPS                                                                                                                            ,EVALUATION CONTEXT     ,         2
APPS                                                                                                                            ,FUNCTION               ,      3031
APPS                                                                                                                            ,INDEX                  ,      1446
APPS                                                                                                                            ,INDEX PARTITION        ,        12
APPS                                                                                                                            ,INDEX SUBPARTITION     ,        48
APPS                                                                                                                            ,JAVA CLASS             ,       612
APPS                                                                                                                            ,JAVA RESOURCE          ,         8
APPS                                                                                                                            ,JAVA SOURCE            ,         2
APPS                                                                                                                            ,JOB                    ,        23
APPS                                                                                                                            ,LOB                    ,        83
APPS                                                                                                                            ,LOB PARTITION          ,         6
APPS                                                                                                                            ,LOB SUBPARTITION       ,        48
APPS                                                                                                                            ,MATERIALIZED VIEW      ,       146
APPS                                                                                                                            ,PACKAGE                ,     42322
APPS                                                                                                                            ,PACKAGE BODY           ,     41286
APPS                                                                                                                            ,PROCEDURE              ,      1324
APPS                                                                                                                            ,QUEUE                  ,        22
APPS                                                                                                                            ,RULE                   ,        19
APPS                                                                                                                            ,RULE SET               ,        23
APPS                                                                                                                            ,SEQUENCE               ,       273
APPS                                                                                                                            ,SYNONYM                ,     99083
APPS                                                                                                                            ,TABLE                  ,      7957
APPS                                                                                                                            ,TABLE PARTITION        ,        62
APPS                                                                                                                            ,TABLE SUBPARTITION     ,        48
APPS                                                                                                                            ,TRIGGER                ,      6105
APPS                                                                                                                            ,TYPE                   ,      2711
APPS                                                                                                                            ,TYPE BODY              ,       123
APPS                                                                                                                            ,VIEW                   ,     57188
APPS_NE                                                                                                                         ,INDEX                  ,      1502
APPS_NE                                                                                                                         ,LOB                    ,      1181
APPS_NE                                                                                                                         ,PACKAGE                ,         3
APPS_NE                                                                                                                         ,PACKAGE BODY           ,         3
APPS_NE                                                                                                                         ,TABLE                  ,       313
APPS_NE                                                                                                                         ,TRIGGER                ,       133
APPS_NE                                                                                                                         ,TYPE                   ,       150
APPS_NE                                                                                                                         ,TYPE BODY              ,         3
AR                                                                                                                              ,EVALUATION CONTEXT     ,         2
AR                                                                                                                              ,FUNCTION               ,         5
AR                                                                                                                              ,INDEX                  ,      1509
AR                                                                                                                              ,INDEX PARTITION        ,        43
AR                                                                                                                              ,LOB                    ,        28
AR                                                                                                                              ,PACKAGE                ,         2
AR                                                                                                                              ,PACKAGE BODY           ,         2
AR                                                                                                                              ,QUEUE                  ,         4
AR                                                                                                                              ,RULE                   ,         2
AR                                                                                                                              ,RULE SET               ,         6
AR                                                                                                                              ,SEQUENCE               ,      9531
AR                                                                                                                              ,SYNONYM                ,         6
AR                                                                                                                              ,TABLE                  ,       810
AR                                                                                                                              ,TABLE PARTITION        ,       159
AR                                                                                                                              ,VIEW                   ,       648
ARCHIVE                                                                                                                         ,PACKAGE                ,         3
ARCHIVE                                                                                                                         ,PACKAGE BODY           ,         3
ARCHIVE                                                                                                                         ,SYNONYM                ,    107935
ARCHIVE                                                                                                                         ,VIEW                   ,      2038
AS2                                                                                                                             ,SEQUENCE               ,        84
AS3                                                                                                                             ,SEQUENCE               ,        84
AS4                                                                                                                             ,SEQUENCE               ,        84
AS5                                                                                                                             ,SEQUENCE               ,        84
AS6                                                                                                                             ,SEQUENCE               ,        84
ASF                                                                                                                             ,INDEX                  ,         3
ASF                                                                                                                             ,PACKAGE                ,         2
ASF                                                                                                                             ,PACKAGE BODY           ,         2
ASF                                                                                                                             ,SEQUENCE               ,         1
ASF                                                                                                                             ,TABLE                  ,         2
ASF                                                                                                                             ,VIEW                   ,         2
ASG                                                                                                                             ,INDEX                  ,        81
ASG                                                                                                                             ,LOB                    ,         4
ASG                                                                                                                             ,PACKAGE                ,         2
ASG                                                                                                                             ,PACKAGE BODY           ,         2
ASG                                                                                                                             ,SEQUENCE               ,        21
ASG                                                                                                                             ,SYNONYM                ,         1
ASG                                                                                                                             ,TABLE                  ,        60
ASG                                                                                                                             ,VIEW                   ,        60
ASL                                                                                                                             ,INDEX                  ,         8
ASL                                                                                                                             ,LOB                    ,         2
ASL                                                                                                                             ,PACKAGE                ,         2
ASL                                                                                                                             ,PACKAGE BODY           ,         2
ASL                                                                                                                             ,SEQUENCE               ,         6
ASL                                                                                                                             ,TABLE                  ,        24
ASL                                                                                                                             ,VIEW                   ,        16
ASN                                                                                                                             ,PACKAGE                ,         2
ASN                                                                                                                             ,PACKAGE BODY           ,         2
ASO                                                                                                                             ,EVALUATION CONTEXT     ,         1
ASO                                                                                                                             ,INDEX                  ,       167
ASO                                                                                                                             ,LOB                    ,        27
ASO                                                                                                                             ,PACKAGE                ,         2
ASO                                                                                                                             ,PACKAGE BODY           ,         2
ASO                                                                                                                             ,QUEUE                  ,         5
ASO                                                                                                                             ,RULE SET               ,         4
ASO                                                                                                                             ,SEQUENCE               ,        45
ASO                                                                                                                             ,TABLE                  ,        57
ASO                                                                                                                             ,VIEW                   ,        49
ASP                                                                                                                             ,INDEX                  ,         5
ASP                                                                                                                             ,PACKAGE                ,         2
ASP                                                                                                                             ,PACKAGE BODY           ,         2
ASP                                                                                                                             ,SEQUENCE               ,         3
ASP                                                                                                                             ,TABLE                  ,         2
ASP                                                                                                                             ,VIEW                   ,         2
AST                                                                                                                             ,INDEX                  ,        13
AST                                                                                                                             ,PACKAGE                ,         2
AST                                                                                                                             ,PACKAGE BODY           ,         2
AST                                                                                                                             ,SEQUENCE               ,        10
AST                                                                                                                             ,TABLE                  ,        10
AST                                                                                                                             ,VIEW                   ,        10
AUDSYS                                                                                                                          ,INDEX                  ,         3
AUDSYS                                                                                                                          ,INDEX PARTITION        ,       108
AUDSYS                                                                                                                          ,LIBRARY                ,         1
AUDSYS                                                                                                                          ,LOB                    ,         3
AUDSYS                                                                                                                          ,LOB PARTITION          ,       108
AUDSYS                                                                                                                          ,PACKAGE                ,         2
AUDSYS                                                                                                                          ,PACKAGE BODY           ,         2
AUDSYS                                                                                                                          ,TABLE                  ,         1
AUDSYS                                                                                                                          ,TABLE PARTITION        ,        36
AUDSYS                                                                                                                          ,VIEW                   ,         6
AVN15211                                                                                                                        ,PACKAGE                ,         2
AVN15211                                                                                                                        ,PACKAGE BODY           ,         2
AVN15211                                                                                                                        ,SYNONYM                ,       844
AX                                                                                                                              ,INDEX                  ,        81
AX                                                                                                                              ,PACKAGE                ,         2
AX                                                                                                                              ,PACKAGE BODY           ,         2
AX                                                                                                                              ,SEQUENCE               ,         6
AX                                                                                                                              ,TABLE                  ,        52
AX                                                                                                                              ,VIEW                   ,        52
AZ                                                                                                                              ,INDEX                  ,        62
AZ                                                                                                                              ,LOB                    ,        11
AZ                                                                                                                              ,PACKAGE                ,         2
AZ                                                                                                                              ,PACKAGE BODY           ,         2
AZ                                                                                                                              ,SEQUENCE               ,         4
AZ                                                                                                                              ,TABLE                  ,        40
AZ                                                                                                                              ,VIEW                   ,        36
BARCODE                                                                                                                         ,PACKAGE                ,         2
BARCODE                                                                                                                         ,PACKAGE BODY           ,         2
BARCODE                                                                                                                         ,SYNONYM                ,         9
BEN                                                                                                                             ,INDEX                  ,      1910
BEN                                                                                                                             ,LOB                    ,        10
BEN                                                                                                                             ,PACKAGE                ,         2
BEN                                                                                                                             ,PACKAGE BODY           ,         2
BEN                                                                                                                             ,SEQUENCE               ,       446
BEN                                                                                                                             ,TABLE                  ,       536
BEN                                                                                                                             ,VIEW                   ,       535
BIC                                                                                                                             ,INDEX                  ,        17
BIC                                                                                                                             ,LOB                    ,         1
BIC                                                                                                                             ,PACKAGE                ,         2
BIC                                                                                                                             ,PACKAGE BODY           ,         2
BIC                                                                                                                             ,SEQUENCE               ,         2
BIC                                                                                                                             ,TABLE                  ,        25
BIC                                                                                                                             ,VIEW                   ,        14
BIM                                                                                                                             ,INDEX                  ,       426
BIM                                                                                                                             ,PACKAGE                ,         2
BIM                                                                                                                             ,PACKAGE BODY           ,         2
BIM                                                                                                                             ,SEQUENCE               ,        71
BIM                                                                                                                             ,TABLE                  ,       301
BIM                                                                                                                             ,VIEW                   ,       215
BIS                                                                                                                             ,INDEX                  ,        46
BIS                                                                                                                             ,LOB                    ,         3
BIS                                                                                                                             ,PACKAGE                ,         2
BIS                                                                                                                             ,PACKAGE BODY           ,         2
BIS                                                                                                                             ,SEQUENCE               ,         6
BIS                                                                                                                             ,TABLE                  ,        31
BIS                                                                                                                             ,VIEW                   ,        26
BNE                                                                                                                             ,INDEX                  ,       121
BNE                                                                                                                             ,LOB                    ,         4
BNE                                                                                                                             ,PACKAGE                ,         2
BNE                                                                                                                             ,PACKAGE BODY           ,         2
